,state,2017_sat_participation,2017_sat_reading_and_writing,2017_sat_math,2017_sat_total,2017_act_participation,2017_act_english,2017_act_math,2017_act_reading,2017_act_science,2017_act_composite,2018_sat_participation,2018_sat_reading_and_writing,2018_sat_math,2018_sat_total,2018_act_participation,2018_act_composite
27,Nebraska,3.0,629,625,1253,84.0,20.9,20.9,21.9,21.5,21.4,3.0,629,623,1252,100.0,20.1
28,Nevada,26.0,563,553,1116,100.0,16.3,18.0,18.1,18.2,17.8,23.0,574,566,1140,100.0,17.7
29,New Hampshire,96.0,532,520,1052,18.0,25.4,25.1,26.0,24.9,25.5,96.0,535,528,1063,16.0,25.1
30,New Jersey,70.0,530,526,1056,34.0,23.8,23.8,24.1,23.2,23.9,82.0,547,547,1094,31.0,23.7
31,New Mexico,11.0,577,561,1138,66.0,18.6,19.4,20.4,20.0,19.7,16.0,552,540,1093,67.0,19.4
32,New York,67.0,528,523,1052,31.0,23.8,24.0,24.6,23.9,24.2,79.0,534,534,1068,27.0,24.5
33,North Carolina,49.0,546,535,1081,100.0,17.8,19.3,19.6,19.3,19.1,52.0,554,543,1098,100.0,19.1
34,North Dakota,2.0,635,621,1256,98.0,19.0,20.4,20.5,20.6,20.3,2.0,640,643,1283,98.0,20.3
35,Ohio,12.0,578,570,1149,75.0,21.2,21.6,22.5,22.0,22.0,18.0,552,547,1099,100.0,20.3
36,Oklahoma,7.0,530,517,1047,100.0,18.5,18.8,20.1,19.6,19.4,8.0,541,521,1062,100.0,19.3
37,Oregon,43.0,560,548,1108,40.0,21.2,21.5,22.4,21.7,21.8,48.0,564,553,1117,42.0,21.3
38,Pennsylvania,65.0,540,531,1071,23.0,23.4,23.4,24.2,23.3,23.7,70.0,547,539,1086,20.0,23.5
39,Rhode Island,71.0,539,524,1062,21.0,24.0,23.3,24.7,23.4,24.0,97.0,513,505,1018,15.0,24.2
40,South Carolina,50.0,543,521,1064,100.0,17.5,18.6,19.1,18.9,18.7,55.0,547,523,1070,100.0,18.3
41,South Dakota,3.0,612,603,1216,80.0,20.7,21.5,22.3,22.0,21.8,3.0,622,618,1240,77.0,21.9
42,Tennessee,5.0,623,604,1228,100.0,19.5,19.2,20.1,19.9,19.8,6.0,624,607,1231,100.0,19.6
43,Texas,62.0,513,507,1020,45.0,19.5,20.7,21.1,20.9,20.7,66.0,520,512,1032,45.0,20.7
44,Utah,3.0,624,614,1238,100.0,19.5,19.9,20.8,20.6,20.3,4.0,480,530,1010,100.0,20.4
45,Vermont,60.0,562,551,1114,29.0,23.3,23.1,24.4,23.2,23.6,64.0,565,554,1120,24.0,24.1
46,Virginia,65.0,561,541,1102,29.0,23.5,23.3,24.6,23.5,23.8,68.0,567,550,1117,24.0,23.9
47,Washington,64.0,541,534,1075,29.0,20.9,21.9,22.1,22.0,21.9,69.0,543,538,1081,24.0,22.2
48,West Virginia,14.0,558,528,1086,69.0,20.0,19.4,21.2,20.5,20.4,28.0,513,486,999,65.0,20.3
49,Wisconsin,3.0,642,649,1291,100.0,19.7,20.4,20.6,20.9,20.5,3.0,641,653,1294,100.0,20.5
50,Wyoming,3.0,626,604,1230,100.0,19.4,19.8,20.8,20.6,20.2,3.0,633,625,1257,100.0,20.0
